racksSingle106,racks/racksSingle106/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse label order
25.34,9.26,0,0,90,0,M,right,6M006,6M008,Aisle 6M
25.34,10.32,0,0,90,0,M,none,6M010,6M012,
25.34,26.83,0,0,90,0,M,none,6M074,6M076,
25.34,29.95,0,0,90,0,M,none,6M086,6M088,
25.34,45.43,0,0,90,0,M,left,6M146,6M148,
,,,,,,,,,,
12.2,8.32,0,0,90,0,A,right,5A002,5A004,Aisle 5A
12.2,26.89,0,0,90,0,A,none,5A074,5A076,
12.2,30.01,0,0,90,0,A,none,5A086,5A088,
12.2,41.37,0,0,90,0,A,left,5A130,5A132,
,,,,,,,,,,
13.96,8.32,0,0,-90,0,G,left,5G003,5G001,Aisle 5G-R (TODO:  mirror right-hand rack)
13.96,26.89,0,0,-90,0,G,none,5G075,5G073,
13.96,30.01,0,0,-90,0,G,none,5G087,5G085,
13.96,41.37,0,0,-90,0,G,right,5G131,5G129,
,,,,,,,,,,
14.52,8.32,0,0,90,0,H,right,5H002,5H004,Aisle 5H
14.52,26.89,0,0,90,0,H,none,5H074,5H076,
14.52,30.01,0,0,90,0,H,none,5H086,5H088,
14.52,41.37,0,0,90,0,H,left,5H130,5H132,
,,,,,,,,,,
16.28,8.32,0,0,-90,0,H,left,5H003,5H001,Aisle 5H-R
16.28,26.89,0,0,-90,0,H,none,5H075,5H073,
16.28,30.01,0,0,-90,0,H,none,5H087,5H085,
16.28,41.37,0,0,-90,0,H,right,5H131,5H129,
,,,,,,,,,,
16.98,8.32,0,0,90,0,J,right,5J002,5J004,Aisle 5J
16.98,26.89,0,0,90,0,J,none,5J074,5J076,
16.98,30.01,0,0,90,0,J,none,5J086,5J088,
16.98,41.37,0,0,90,0,J,left,5J130,5J132,
,,,,,,,,,,
19.92,8.32,0,0,90,0,K,right,5K002,5K004,Aisle 5K
19.92,26.89,0,0,90,0,K,none,5K074,5K076,
19.92,30.01,0,0,90,0,K,none,5K086,5K088,
19.92,41.37,0,0,90,0,K,left,5K130,5K132,
,,,,,,,,,,
21.68,8.32,0,0,-90,0,K,left,5K003,5K001,Aisle 5K-R
21.68,26.89,0,0,-90,0,K,none,5K075,5K073,
21.68,30.01,0,0,-90,0,K,none,5K087,5K085,
21.68,41.37,0,0,-90,0,K,right,5K131,5K129,
,,,,,,,,,,
22.24,8.32,0,0,90,0,L,right,5L002,5L004,Aisle 5L
22.24,26.89,0,0,90,0,L,none,5L074,5L076,
22.24,30.01,0,0,90,0,L,none,5L086,5L088,
22.24,41.37,0,0,90,0,L,left,5L130,5L132,
,,,,,,,,,,
0.49,28.47,0,0,90,0,A,right,4A080,4A082,Aisle 4A
0.49,29.53,0,0,90,0,A,none,4A084,4A086,
0.49,38.83,0,0,90,0,A,none,4A120,4A122,
0.49,39.89,0,0,90,0,A,none,4A124,4A126,
,,,,,,,,,,
2.25,38.83,0,0,-90,0,A,right,4A121,4A119,Aisle 4A-R
2.83,38.83,0,0,90,0,B,left,4B120,4B122,Aisle 4B
5.77,38.83,0,0,90,0,C,left,4C120,4C122,Aisle 4C
,,,,,,,,,,
4.2,27.74,0,0,180,0,E,left,4E007,4E006,Aisle 4E-R
5.26,27.74,0,0,180,0,E,right,4E009,4E008,
7.38,27.74,0,0,180,0,E,right,4E013,4E012,
10.56,27.74,0,0,180,0,E,right,4E018,4E017,
,,,,,,,,,,
4.2,41.04,0,0,0,0,F,right,4F006,4F007,Aisle 4F
5.26,41.04,0,0,0,0,F,left,4F008,4F009,
7.38,41.04,0,0,0,0,F,left,4F010,4F012,
