racksDouble206,racks/racksDouble206/,,,,,,,,
obj,,,,,,,,,
X,Neg Z,Y,Rot X,Rot Y,Rot Z,Aisle,Label (left_right_or_none),Bin# (leftmost),Bin#
19.01,26.365,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
24.29,26.365,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
,,,,,,,,,
27.4,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
28.46,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
30.71,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
31.89,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
34.14,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
35.2,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
37.45,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
38.63,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
40.68,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
41.94,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
44.19,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
45.35,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
47.62,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
48.68,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
50.93,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
52.09,27.835,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
54.35,27.835,0,0,0,0,A,none,1A345,1A890
