racksSingleRaised147,racks/racksSingle147/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse label order
1.565,48.23,1.68,0,0,0,-,none,,,Receiving
3.035,48.23,1.68,0,0,0,-,none,,,
4.505,48.23,1.68,0,0,0,-,none,,,
5.975,48.23,1.68,0,0,0,-,none,,,
7.445,48.23,1.68,0,0,0,-,none,,,
8.915,48.23,1.68,0,0,0,-,none,,,
10.385,48.23,1.68,0,0,0,-,none,,,
11.855,48.23,1.68,0,0,0,-,none,,,
13.325,48.23,1.68,0,0,0,-,none,,,
14.795,48.23,1.68,0,0,0,-,none,,,
16.265,48.23,1.68,0,0,0,-,none,,,
17.735,48.23,1.68,0,0,0,-,none,,,
19.205,48.23,1.68,0,0,0,-,none,,,
,,,,,,,,,,
4.915,0.5,1.68,0,180,0,-,none,,,Loading
6.385,0.5,1.68,0,180,0,-,none,,,
7.855,0.5,1.68,0,180,0,-,none,,,
9.325,0.5,1.68,0,180,0,-,none,,,
10.795,0.5,1.68,0,180,0,-,none,,,
12.265,0.5,1.68,0,180,0,-,none,,,
13.735,0.5,1.68,0,180,0,-,none,,,
15.205,0.5,1.68,0,180,0,-,none,,,
16.675,0.5,1.68,0,180,0,-,none,,,
18.145,0.5,1.68,0,180,0,-,none,,,
19.615,0.5,1.68,0,180,0,-,none,,,
21.085,0.5,1.68,0,180,0,-,none,,,
,,,,,,,,,,
29.865,0.5,1.68,0,180,0,-,none,,,Loading (cont)
31.335,0.5,1.68,0,180,0,-,none,,,
32.805,0.5,1.68,0,180,0,-,none,,,
34.275,0.5,1.68,0,180,0,-,none,,,
35.745,0.5,1.68,0,180,0,-,none,,,
37.215,0.5,1.68,0,180,0,-,none,,,
38.685,0.5,1.68,0,180,0,-,none,,,
40.155,0.5,1.68,0,180,0,-,none,,,
41.625,0.5,1.68,0,180,0,-,none,,,
43.095,0.5,1.68,0,180,0,-,none,,,
44.565,0.5,1.68,0,180,0,-,none,,,
46.035,0.5,1.68,0,180,0,-,none,,,
47.505,0.5,1.68,0,180,0,-,none,,,
48.975,0.5,1.68,0,180,0,-,none,,,
50.445,0.5,1.68,0,180,0,-,none,,,
51.915,0.5,1.68,0,180,0,-,none,,,
53.385,0.5,1.68,0,180,0,-,none,,,
